student_id,cumulative_gpa,gpa_trend,failed_courses_count,credits_per_semester_avg,attendance_percentage,stream_choice_satisfaction,lms_engagement_score,assignment_lateness_rate,library_resource_usage,co_curricular_involvement,help_seeking_behavior,scholarship_status,is_first_generation_learner,location_type,dropout_status
S43683,3.37,0.129,0,15.8,0.92,4,20.6,0.03,34,2,TRUE,TRUE,FALSE,Rural,0
S18751,3.26,0.045,0,15.3,0.91,4,17.5,0.09,42,2,TRUE,TRUE,FALSE,Rural,0
S91957,3.92,0.075,0,17.8,0.95,4,15.3,0.07,20,1,TRUE,FALSE,FALSE,Rural,0
S51625,3.36,0.238,0,17.3,0.91,4,17.7,0.06,55,3,TRUE,TRUE,TRUE,Rural,0
S61574,2.58,0.010,0,16.8,0.71,2,14.8,0.27,17,2,FALSE,FALSE,TRUE,Urban,0
S62229,3.63,0.245,0,16.4,0.92,4,18.3,0.07,37,1,TRUE,TRUE,TRUE,Rural,0
S33176,2.54,-0.147,0,15.3,0.85,4,16.5,0.40,14,4,FALSE,FALSE,FALSE,Urban,0
S20695,3.44,0.201,0,16.5,0.92,5,20.8,0.03,30,1,TRUE,FALSE,FALSE,Rural,0
S17923,2.80,-0.135,2,12.3,0.92,3,8.2,0.22,5,2,TRUE,TRUE,TRUE,Rural,0
S52606,2.36,-0.167,2,12.9,0.76,3,6.8,0.23,25,2,FALSE,FALSE,TRUE,Rural,0
S99991,2.92,0.183,0,18.0,0.83,4,11.9,0.10,25,3,TRUE,FALSE,TRUE,Rural,0
S61181,1.29,-0.224,4,14.3,0.63,1,6.3,0.45,5,1,FALSE,TRUE,FALSE,Rural,1
S60784,2.20,-0.133,0,17.1,0.75,3,16.1,0.20,8,2,TRUE,TRUE,FALSE,Urban,0
S76728,2.22,-0.039,2,14.7,0.87,3,13.4,0.32,23,4,FALSE,TRUE,FALSE,Urban,1
S98375,3.49,0.108,0,16.1,1.00,4,23.2,0.06,59,3,TRUE,FALSE,FALSE,Rural,0
S36510,3.54,0.013,0,15.3,0.95,4,20.9,0.01,44,2,TRUE,FALSE,TRUE,Rural,0
S55158,3.25,0.068,0,16.9,0.94,5,17.1,0.08,53,1,TRUE,FALSE,TRUE,Urban,0
S98546,3.95,0.150,0,16.4,0.98,4,21.7,0.02,21,2,TRUE,TRUE,FALSE,Rural,0
S48109,2.65,0.124,0,13.8,0.84,2,9.1,0.23,33,2,FALSE,FALSE,FALSE,Rural,0
S63778,3.11,-0.041,2,15.1,0.88,3,17.1,0.08,25,0,TRUE,TRUE,FALSE,Urban,0
S86106,3.24,-0.114,2,17.5,0.75,4,18.5,0.27,18,4,TRUE,FALSE,FALSE,Rural,1
S69319,3.96,0.100,0,16.8,0.99,4,24.4,0.06,20,2,TRUE,FALSE,FALSE,Urban,0
S54437,3.13,-0.109,2,17.2,0.93,3,16.8,0.45,15,3,FALSE,FALSE,FALSE,Rural,0
S91338,2.51,-0.071,2,12.8,0.86,2,6.4,0.38,6,4,TRUE,FALSE,TRUE,Urban,0
S72428,2.29,-0.093,2,17.5,0.93,3,6.7,0.22,31,1,FALSE,TRUE,TRUE,Rural,0
