student_id,cumulative_gpa,prereq_gpa,gpa_trend,credits_completed,avg_study_hours_weekly,lms_logins_per_week,assignment_submission_timing,forum_participation_count,video_lecture_completion_rate,study_session_regularity,co_curricular_hours_weekly,grit_proxy_score,final_outcome
S7349,3.07,2.95,-0.084,47,20.5,3,On-Time,17,0.76,5.1,10.6,0.05,At-Risk
S4361,3.92,3.68,-0.178,115,12.3,9,Early,12,0.77,1.3,8.9,0.47,At-Risk
S3374,2.56,3.57,0.130,77,24.7,14,On-Time,2,0.23,4.5,14.7,0.24,Fail
S7085,2.03,2.94,-0.160,25,21.0,6,Late,19,0.05,2.5,5.7,0.30,Pass
S3504,2.32,1.91,0.059,58,13.3,12,On-Time,1,0.33,4.2,3.1,0.19,Pass
S9151,2.52,3.46,-0.048,45,23.4,11,Late,18,0.63,3.1,1.5,0.56,Fail
S1203,3.09,3.79,-0.028,86,15.0,9,Early,4,0.46,2.8,6.1,0.27,Fail
S1548,2.78,2.41,-0.004,31,14.5,6,On-Time,10,0.63,3.7,2.3,0.94,Pass
S1966,3.57,2.65,0.101,78,21.7,3,Early,0,0.21,1.4,1.6,0.33,Pass
S6913,3.09,3.57,-0.167,35,18.6,8,On-Time,1,0.36,1.7,10.6,0.93,At-Risk
S4616,2.92,2.73,-0.117,49,6.9,10,Early,17,0.17,5.6,1.5,0.44,At-Risk
S3456,3.35,2.14,-0.164,18,11.5,13,On-Time,0,0.30,2.2,7.2,0.25,Pass
S2854,3.73,2.97,0.102,113,11.6,10,Early,18,0.08,4.2,6.2,0.96,At-Risk
S4129,2.30,2.70,-0.112,120,7.6,3,On-Time,16,0.35,3.7,13.8,0.54,Fail
S7051,3.44,3.99,-0.064,67,13.3,12,On-Time,8,0.18,3.1,8.1,0.81,Pass
S3050,3.24,2.72,0.072,108,12.4,6,On-Time,7,0.29,1.8,7.9,0.22,Fail
S5302,2.38,3.21,0.099,80,20.6,5,Early,15,0.81,2.0,14.4,0.07,Pass
S5172,2.24,1.79,-0.130,20,19.3,9,Late,7,0.56,2.1,7.0,0.75,Fail
S7714,2.18,3.09,0.085,16,13.6,8,On-Time,14,0.28,5.9,12.0,0.70,Pass
S4209,2.87,3.86,-0.151,83,12.0,4,On-Time,9,0.19,1.4,6.5,0.96,Fail
S2960,2.76,2.49,-0.087,68,7.8,9,On-Time,13,0.97,3.8,13.6,0.66,Pass
S7804,3.40,2.74,-0.138,38,11.5,13,Early,19,0.05,3.6,11.4,0.80,Fail
S7073,3.81,3.69,-0.033,28,24.1,13,Early,10,0.70,3.0,0.2,0.17,Pass
S1955,2.55,3.11,0.140,67,8.8,14,On-Time,4,0.37,2.6,11.6,0.22,Fail
S6493,2.75,2.47,0.144,77,23.6,9,Early,6,0.33,5.3,3.9,0.26,Pass
S7681,3.68,2.20,0.081,57,21.2,12,Late,6,0.44,1.4,6.2,0.34,At-Risk
S2365,3.19,3.89,-0.103,114,7.3,15,Early,17,0.63,4.0,13.5,0.57,Pass
S4949,3.52,2.11,-0.049,57,15.5,6,Early,13,0.58,2.0,1.2,0.90,Fail
S3084,3.90,3.62,-0.024,67,20.4,13,Early,12,0.38,2.0,4.9,0.41,Pass
S2845,3.39,2.76,-0.127,120,14.4,3,Late,3,0.43,2.4,11.3,0.89,Pass
S1092,2.30,2.44,-0.125,118,22.4,10,Late,15,0.73,1.7,3.9,0.03,At-Risk
S3994,2.90,2.89,0.121,74,9.1,5,On-Time,11,0.36,3.9,5.2,0.53,Pass
S5928,2.41,3.91,0.173,120,21.8,8,Late,0,0.81,5.9,3.9,0.17,Pass
S7232,2.22,1.77,-0.084,57,16.2,7,On-Time,16,0.30,5.0,4.6,0.38,Pass
S7521,3.32,2.52,0.180,83,15.3,5,Early,13,0.58,4.7,6.8,0.90,Fail
S3532,2.74,1.54,-0.082,119,20.2,10,Late,1,0.61,2.3,7.6,0.79,Pass
S4738,2.15,2.63,0.080,67,13.1,15,Early,3,0.98,4.0,8.0,0.62,Pass
S1169,2.31,2.55,0.019,74,20.6,3,On-Time,11,0.41,1.3,4.7,0.60,Pass
S9183,3.54,2.94,-0.027,92,8.3,3,Late,15,0.24,4.8,14.3,0.35,Pass
S8147,2.97,2.02,0.041,111,23.9,11,Late,1,0.01,4.3,14.5,0.01,Pass
S6242,3.62,1.60,-0.178,74,11.3,8,Early,8,0.51,4.7,6.8,0.32,Pass
S7870,3.16,3.13,0.123,59,20.9,12,Early,4,0.69,4.7,2.9,0.77,Fail
S8378,2.44,1.96,-0.105,113,10.2,6,Early,16,0.71,4.3,11.6,0.76,At-Risk
S9063,2.45,2.39,0.021,52,9.1,10,Late,12,0.63,1.7,0.9,0.63,Pass
S2683,2.99,3.93,0.108,55,14.7,10,On-Time,2,0.67,1.2,9.7,0.90,Pass
S7944,2.72,2.53,0.099,61,19.4,9,Early,12,0.17,2.4,1.3,0.98,Pass
S8670,2.64,3.49,-0.130,46,6.5,9,Early,6,0.45,4.0,0.5,0.32,At-Risk
S6645,3.93,3.57,0.022,79,8.8,14,Late,13,0.32,4.0,9.0,0.77,At-Risk
S3322,3.10,2.77,0.026,44,13.3,7,Early,7,0.97,3.6,8.7,0.47,Pass
S6887,2.31,2.00,-0.050,25,17.3,12,Early,0,0.44,3.1,5.0,0.70,Fail
S1388,2.92,3.35,0.102,102,9.2,9,On-Time,4,0.87,5.1,6.2,0.46,Fail
S5898,3.08,3.07,-0.165,90,10.2,3,On-Time,7,0.28,5.8,4.9,0.65,Pass
S2932,2.42,2.56,0.047,40,18.7,10,Early,7,0.60,1.4,0.7,0.15,Pass
S3588,3.67,3.75,0.011,56,5.1,6,Early,17,0.16,4.2,14.7,0.31,Pass
S6128,3.21,3.03,0.078,105,7.0,8,Late,8,0.82,2.3,10.2,0.40,Fail
S2969,3.46,3.75,-0.113,119,24.3,14,On-Time,12,0.52,4.3,6.9,0.16,Fail
S4305,2.11,2.76,-0.178,54,14.0,6,On-Time,0,0.97,1.1,9.8,0.61,At-Risk
S3826,3.96,2.23,-0.054,49,12.1,6,On-Time,19,0.59,4.5,4.0,0.58,Fail
S3249,3.62,3.42,-0.037,81,14.9,9,Late,2,0.13,5.8,2.7,0.59,At-Risk
S7643,3.56,2.58,-0.167,67,16.5,3,Late,12,0.41,1.6,2.2,0.31,Pass
S4746,2.94,1.66,-0.017,61,23.9,6,On-Time,5,0.17,3.5,5.2,0.51,Pass
S6770,2.73,2.87,0.153,59,16.9,7,Late,5,0.06,1.5,2.2,0.14,Pass
S1380,3.39,3.61,0.007,99,24.7,9,Late,8,0.07,4.1,4.9,0.28,Pass
S2848,3.75,1.88,-0.039,79,16.0,12,Late,5,0.12,2.6,0.1,0.78,Pass
S9578,2.38,2.54,-0.055,49,24.6,10,Late,14,0.53,1.7,13.5,0.03,Pass
S9480,2.93,3.31,-0.041,39,17.1,10,Early,2,0.46,4.2,11.5,0.07,Pass
S5911,3.91,2.07,-0.061,109,14.6,6,Late,16,0.85,1.3,2.0,0.96,Fail
